period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,rex1,rim1,exrate1,mktpen1,tau1,ntb1
0,2283.6422628188529416,2283.6422624024917241,4715.7685378773212506,335.1221383150092947,8.2483680815641325,1948.5201245038433626,38.2062770005885000,0.0000000000000000,97426.0060785910900449,0.0000000000000000,0.0000000000000000,1.0000000001823233,0.9999999845129641,1.0975557004195764,16.6010368915182092,15.5034809432395111,0.0410000026943048,0.9648784481851308,0.0000000000000000,0.0000000000000000,1.0000000008256582,0.9999999780813597,-1.0975528951337736,111.0969886262144541,112.1945390766374118,0.1000000243863005,0.9164452239190405,0.0000000000000000,0.0000000000000000
1,2283.6422630999973080,2283.6422632363260163,4715.7685380502953194,335.1221384338039684,8.2483680724552588,1948.5201246661931691,38.2062770015791529,0.0000000000000000,97426.0061159904580563,0.0000000000000000,0.0000000000000000,0.9999999999403018,0.9999999849789483,1.0975556553176187,16.6010368658053906,15.5034809702556373,0.0410000026539721,0.9648784482189070,0.0000000000000000,0.0000000000000000,1.0000000005869838,0.9999999785082441,-1.0975531889722134,111.0969884754216821,112.1945392672078299,0.1000000243092470,0.9164452239811652,0.0000000000000000,0.0000000000000000
2,2283.6422633642077926,2283.6422639977822655,4715.7685382293939256,335.1221385413234657,8.2483680642642341,1948.5201248228840996,38.2062770025259510,0.0000000000000000,97426.0061505678022513,0.0000000000000000,0.0000000000000000,0.9999999997225597,0.9999999853981972,1.0975556147450440,16.6010368427550894,15.5034809946399470,0.0410000026176850,0.9648784482492950,0.0000000000000000,0.0000000000000000,1.0000000003723835,0.9999999788920714,-1.0975534531798559,111.0969883403914906,112.1945394391163546,0.1000000242399648,0.9164452240370243,0.0000000000000000,0.0000000000000000
3,2283.6422636126285397,2283.6422646935629928,4715.7685384128135411,335.1221386386749259,8.2483680568985758,1948.5201249739534433,38.2062770034302375,0.0000000000000000,97426.0061825593002141,0.0000000000000000,0.0000000000000000,0.9999999995266622,0.9999999857753981,1.0975555782473343,16.6010368220959812,15.5034810166523496,0.0410000025850381,0.9648784482766346,0.0000000000000000,0.0000000000000000,1.0000000001794289,0.9999999792371831,-1.0975536907444194,111.0969882195068124,112.1945395942170336,0.1000000241776702,0.9164452240872496,0.0000000000000000,0.0000000000000000
4,2283.6422638462863688,2283.6422653296999670,4715.7685385989570932,335.1221387268410581,8.2483680502750722,1948.5201251194448560,38.2062770042933693,0.0000000000000000,97426.0062121792434482,0.0000000000000000,0.0000000000000000,0.9999999993504176,0.9999999861147667,1.0975555454155206,16.6010368035840798,15.5034810365268374,0.0410000025556660,0.9648784483012318,0.0000000000000000,0.0000000000000000,1.0000000000059366,0.9999999795474855,-1.0975539043537310,111.0969881113129674,112.1945397341778943,0.1000000241216579,0.9164452241324098,0.0000000000000000,0.0000000000000000
5,2283.6422640661166952,2283.6422659116356044,4715.7685387864230506,335.1221388067036173,8.2483680443188643,1948.5201252594133621,38.2062770051167035,0.0000000000000000,97426.0062396225548582,0.0000000000000000,0.0000000000000000,0.9999999991918529,0.9999999864201030,1.0975555158811314,16.6010367869996962,15.5034810544743831,0.0410000025292399,0.9648784483233621,0.0000000000000000,0.0000000000000000,0.9999999998499416,0.9999999798264945,-1.0975540964263786,111.0969880145020454,112.1945398605010666,0.1000000240712937,0.9164452241730161,0.0000000000000000,0.0000000000000000
6,2283.6422642730258303,2283.6422664443202848,4715.7685389740654500,335.1221388790738160,8.2483680389628393,1948.5201253939521848,38.2062770059016188,0.0000000000000000,97426.0062650678446516,0.0000000000000000,0.0000000000000000,0.9999999990491970,0.9999999866948146,1.0975554893137023,16.6010367721460526,15.5034810706844581,0.0410000025054645,0.9648784483432723,0.0000000000000000,0.0000000000000000,0.9999999997096820,0.9999999800773596,-1.0975542691302564,111.0969879279045642,112.1945399745356298,0.1000000240260093,0.9164452242095270,0.0000000000000000,0.0000000000000000
7,2283.6422644678409597,2283.6422669322273578,4715.7685391608865757,335.1221389446746457,8.2483680341464538,1948.5201255231663708,38.2062770066494721,0.0000000000000000,97426.0062886772502679,0.0000000000000000,0.0000000000000000,0.9999999989208528,0.9999999869419723,1.0975554654153825,16.6010367588461847,15.5034810853282075,0.0410000024840742,0.9648784483611853,0.0000000000000000,0.0000000000000000,0.9999999995835682,0.9999999803029245,-1.0975544244220146,111.0969878504655384,112.1945400774998376,0.1000000239852914,0.9164452242423559,0.0000000000000000,0.0000000000000000
8,2283.6422646513187829,2283.6422673793954345,4715.7685393460078558,335.1221390041524728,8.2483680298153672,1948.5201256471659690,38.2062770073616136,0.0000000000000000,97426.0063105990557233,0.0000000000000000,0.0000000000000000,0.9999999988053836,0.9999999871643459,1.0975554439177984,16.6010367469404585,15.5034810985597051,0.0410000024648293,0.9648784483773017,0.0000000000000000,0.0000000000000000,0.9999999994701751,0.9999999805057367,-1.0975545640542208,111.0969877812404150,112.1945401704853253,0.1000000239486800,0.9164452242718739,0.0000000000000000,0.0000000000000000
9,2283.6422648241791649,2283.6422677894865956,4715.7685395287244319,335.1221390580902266,8.2483680259206054,1948.5201257660887677,38.2062770080393648,0.0000000000000000,97426.0063309676770587,0.0000000000000000,0.0000000000000000,0.9999999987015007,0.9999999873644114,1.0975554245807153,16.6010367362863782,15.5034811105172228,0.0410000024475150,0.9648784483918014,0.0000000000000000,0.0000000000000000,0.9999999993682183,0.9999999806880961,-1.0975546896100354,111.0969877193778501,112.1945402544799748,0.1000000239157601,0.9164452242984158,0.0000000000000000,0.0000000000000000
10,2283.6422649870755777,2283.6422681658154943,4715.7685397084333090,335.1221391070226900,8.2483680224182425,1948.5201258800525466,38.2062770086840402,0.0000000000000000,97426.0063499070092803,0.0000000000000000,0.0000000000000000,0.9999999986080395,0.9999999875444144,1.0975554071864622,16.6010367267549697,15.5034811213262032,0.0410000024319372,0.9648784484048468,0.0000000000000000,0.0000000000000000,0.9999999992765443,0.9999999808520633,-1.0975548025069060,111.0969876641169947,112.1945403303697901,0.1000000238861602,0.9164452243222808,0.0000000000000000,0.0000000000000000
11,2283.6422651406260229,2283.6422685113843727,4715.7685398846251701,335.1221391514177981,8.2483680192687601,1948.5201259892078269,38.2062770092969117,0.0000000000000000,97426.0063675291457912,0.0000000000000000,0.0000000000000000,0.9999999985239549,0.9999999877063624,1.0975553915404053,16.6010367182309260,15.5034811310988410,0.0410000024179219,0.9648784484165837,0.0000000000000000,0.0000000000000000,0.9999999991941164,0.9999999809994937,-1.0975549040216492,111.0969876147725017,112.1945403989527961,0.1000000238595451,0.9164452243437393,0.0000000000000000,0.0000000000000000
12,2283.6422652853993895,2283.6422688289153484,4715.7685400568952900,335.1221391917110850,8.2483680164364550,1948.5201260936878498,38.2062770098792370,0.0000000000000000,97426.0063839375361567,0.0000000000000000,0.0000000000000000,0.9999999984483052,0.9999999878520723,1.0975553774664810,16.6010367106102272,15.5034811399369161,0.0410000024053121,0.9648784484271437,0.0000000000000000,0.0000000000000000,0.9999999991199997,0.9999999811320602,-1.0975549953057140,111.0969875707278760,112.1945404609502361,0.1000000238356128,0.9164452243630349,0.0000000000000000,0.0000000000000000
13,2283.6422654219318247,2283.6422691208676952,4715.7685402249107938,335.1221392282827765,8.2483680138895572,1948.5201261936485935,38.2062770104322382,0.0000000000000000,97426.0063992258947110,0.0000000000000000,0.0000000000000000,0.9999999983802472,0.9999999879831644,1.0975553648076222,16.6010367038001547,15.5034811479312928,0.0410000023939674,0.9648784484366441,0.0000000000000000,0.0000000000000000,0.9999999990533597,0.9999999812512544,-1.0975550773853939,111.0969875314342801,112.1945405170055921,0.1000000238140942,0.9164452243803843,0.0000000000000000,0.0000000000000000
14,2283.6422655507185482,2283.6422693894851363,4715.7685403884188418,335.1221392614806973,8.2483680115992204,1948.5201262892378509,38.2062770109570948,0.0000000000000000,97426.0064134804706555,0.0000000000000000,0.0000000000000000,0.9999999983190158,0.9999999881011122,1.0975553534208693,16.6010366977164452,15.5034811551647902,0.0410000023837601,0.9648784484451920,0.0000000000000000,0.0000000000000000,0.9999999989934398,0.9999999813584276,-1.0975551511912158,111.0969874963954140,112.1945405677035410,0.1000000237947455,0.9164452243959844,0.0000000000000000,0.0000000000000000
15,2283.6422656722311331,2283.6422696367994831,4715.7685405472111597,335.1221392916226591,8.2483680095395666,1948.5201263806088718,38.2062770114549721,0.0000000000000000,97426.0064267806155840,0.0000000000000000,0.0000000000000000,0.9999999982639276,0.9999999882072321,1.0975553431788434,16.6010366922840760,15.5034811617113082,0.0410000023745763,0.9648784484528827,0.0000000000000000,0.0000000000000000,0.9999999989395629,0.9999999814547946,-1.0975552175580958,111.0969874651659950,112.1945406135689609,0.1000000237773471,0.9164452244100119,0.0000000000000000,0.0000000000000000
16,2283.6422657868806709,2283.6422698646315439,4715.7685407011285861,335.1221393189788955,8.2483680076873096,1948.5201264679017186,38.2062770119269643,0.0000000000000000,97426.0064391982887173,0.0000000000000000,0.0000000000000000,0.9999999982143650,0.9999999883027099,1.0975553339664419,16.6010366874355029,15.5034811676378155,0.0410000023663136,0.9648784484598023,0.0000000000000000,0.0000000000000000,0.9999999988911175,0.9999999815414473,-1.0975552772383708,111.0969874373459163,112.1945406550756559,0.1000000237617023,0.9164452244226255,0.0000000000000000,0.0000000000000000
17,2283.6422658950878031,2283.6422700746629744,4715.7685408500865378,335.1221393438104883,8.2483680060217708,1948.5201265512769169,38.2062770123741657,0.0000000000000000,97426.0064508000068599,0.0000000000000000,0.0000000000000000,0.9999999981697767,0.9999999883886115,1.0975553256805544,16.6010366831102054,15.5034811730043494,0.0410000023588797,0.9648784484660278,0.0000000000000000,0.0000000000000000,0.9999999988475605,0.9999999816193571,-1.0975553308995387,111.0969874125813988,112.1945406926454893,0.1000000237476362,0.9164452244339665,0.0000000000000000,0.0000000000000000
