period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,100.0000017789688087,100.0000017789688087,189.2068176096694572,15.5396597128125880,1.4815692372961826,84.4603420661562296,1.6560777547189860,0.0000000000000000,4223.0170929710575365,0.0000000000000000,0.0000000000000000,1.0000000029421385,1.0000000014706023,1.0975553153394682,14.8334536348753936,13.7358983195359254,0.5448322661549319,0.5500000014507231,0.2523659246791988,0.0000000000000000,0.0000000000000000,0.9999999982351144,1.0000000141406027,-1.0975557453539846,15.5034807956892795,16.6010365410432641,0.4329285589113303,0.4299999891655126,0.2212575902586603,0.0000000000000000,0.0000000000000000
1,100.0000016260332245,100.0000016260331961,189.2068177728906448,15.5396597046532747,1.4815692425158913,84.4603419213799498,1.6560776070429954,0.0000000000000000,4223.0170948562181366,0.0000000000000000,0.0000000000000000,1.0000000014350430,0.9999999999456921,1.0975552814032632,14.8334532990253347,13.7358980176220715,0.5448322661549319,0.5500000009592643,0.2523659244202660,0.0000000000000000,0.0000000000000000,0.9999999989661047,1.0000000134416140,-1.0975556606540362,15.5034808423039632,16.6010365029579994,0.4329285589113296,0.4299999907655144,0.2212575912405360,0.0000000000000000,0.0000000000000000
2,100.0000016028214702,100.0000016028214418,189.2068177354285581,15.5396596540739278,1.4815692418811448,84.4603419487475264,1.6560774564702871,0.0000000000000000,4223.0170941180285809,0.0000000000000000,0.0000000000000000,1.0000000023784887,1.0000000011904093,1.0975552632076067,14.8334532277299296,13.7358979645223229,0.5448322661549313,0.5500000016185400,0.2523659248151295,0.0000000000000000,0.0000000000000000,0.9999999983021051,1.0000000110817810,-1.0975555612476242,15.5034809943584406,16.6010365556060648,0.4329285589113296,0.4299999898783887,0.2212575908080442,0.0000000000000000,0.0000000000000000
3,100.0000016940464320,100.0000016940464320,189.2068178335059088,15.5396596860751988,1.4815692432911254,84.4603420079712350,1.6560773028754201,0.0000000000000000,4223.0170978984633621,0.0000000000000000,0.0000000000000000,1.0000000022907178,0.9999999973425715,1.0975554900343454,14.8334534394514304,13.7358979494170850,0.5448322661549320,0.5500000013968847,0.2523659246938796,0.0000000000000000,0.0000000000000000,0.9999999992536772,1.0000000157727129,-1.0975557963428333,15.5034808938089643,16.6010366901517976,0.4329285589113304,0.4299999906028878,0.2212575911006454,0.0000000000000000,0.0000000000000000
4,99.9068656743130390,99.9068656743130674,189.1474943824068760,15.5167825069859777,1.4580066378398919,84.3900831673270631,1.6560771461854609,0.0000000000000000,4223.0170982800727870,0.0000000000000000,0.0000000000000000,0.9996499315467057,0.9986294411149479,1.1502234156315279,14.7809722289640924,13.6307488133325645,0.5448322661549322,0.5501020342655235,0.2492620332670269,0.0000000000000000,0.0000000000000000,0.9995482674786743,0.9993239466010090,-1.0771998945861068,15.4246047093005618,16.5018046038866686,0.4230156428587094,0.4299965589508866,0.2230562883960508,0.0000000000000000,0.0000000000000000
5,99.9967584279054478,99.9967584279054762,189.2005899954860695,15.5375694563746727,1.4818183718329845,84.4591889715307929,1.6561045619747556,0.0000000000000000,4223.0170966137911819,0.0000000000000000,0.0000000000000000,0.9999651759504115,0.9999230434654068,1.0992494723538275,14.8283052094023535,13.7290557370485260,0.5448322661549325,0.5499843424541730,0.2521007302228748,0.0000000000000000,0.0000000000000000,0.9999417838501584,1.0000163263948538,-1.1022761392028535,15.4947828758418602,16.5970590150447137,0.4329285589113304,0.4299620078629116,0.2209558131003030,0.0000000000000000,0.0000000000000000
6,100.0017248194908177,100.0017248194908177,189.2058903361829607,15.5406464163890465,1.4815286432328447,84.4610784031017658,1.6561054026589435,0.0000000000000000,4223.0170998309095012,0.0000000000000000,0.0000000000000000,0.9999912561074438,1.0000086401293293,1.0964311488712948,14.8323333419497665,13.7359021930784717,0.5448322661549317,0.5499934272900402,0.2523395095260644,0.0000000000000000,0.0000000000000000,0.9999821771754421,1.0000304898347838,-1.1007443823827820,15.5014209336275108,16.6021653160102929,0.4329285589113304,0.4299849690376376,0.2212219618386259,0.0000000000000000,0.0000000000000000
7,100.0019808347989567,100.0019808347989567,189.2064487549927208,15.5407443045707900,1.4815098229296497,84.4612365302281773,1.6561055191819121,0.0000000000000000,4223.0170935436863147,0.0000000000000000,0.0000000000000000,0.9999935955306475,1.0000138686166979,1.0963078014941559,14.8326860185678004,13.7363782170736446,0.5448322661549322,0.5499943875520406,0.2523601483030616,0.0000000000000000,0.0000000000000000,0.9999861458038461,1.0000281564961406,-1.1003551023265015,15.5020376133040809,16.6023927156305824,0.4329285589113299,0.4299874349541037,0.2212462110987003,0.0000000000000000,0.0000000000000000
8,100.0019249262534231,100.0019249262534231,189.2066594759343445,15.5406517882109174,1.4815125725481870,84.4612731380425146,1.6561055760243841,0.0000000000000000,4223.0171014910347367,0.0000000000000000,0.0000000000000000,0.9999942716479523,1.0000132125869161,1.0963873787783349,14.8327740955189089,13.7363867167405740,0.5448322661549320,0.5499948146412220,0.2523621754882132,0.0000000000000000,0.0000000000000000,0.9999875636125272,1.0000257238774408,-1.1001118654171584,15.5021986767678221,16.6023105421849806,0.4329285589113305,0.4299885153040928,0.2212490135476059,0.0000000000000000,0.0000000000000000
9,100.0018538557370249,100.0018538557370249,189.2068262586610388,15.5405560238151352,1.4815166596351159,84.4612978319218968,1.6561056196476587,0.0000000000000000,4223.0171009810028409,0.0000000000000000,0.0000000000000000,0.9999947781576917,1.0000122141295142,1.0964739767810698,14.8328363352716703,13.7363623584906005,0.5448322661549330,0.5499951707733683,0.2523625720001431,0.0000000000000000,0.0000000000000000,0.9999886876975643,1.0000235639719952,-1.0999037937104070,15.5023133021253408,16.6022170958357478,0.4329285589113303,0.4299894111776329,0.2212498477563521,0.0000000000000000,0.0000000000000000
