period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,rex2,rim2,exrate2,mktpen2,tau2,ntb2
0,582.3058129756835797,582.3058140694947724,1164.9039138423479471,87.3312581997308257,0.0000000000000000,494.9745547759526971,9.7053822529747062,9.7027967679507903,24748.7277420540485764,0.0000000000000000,0.0000000000000000,0.9999999981215864,1.0000000009092074,-1.0975554274154131,13.7358979871772657,14.8334534145926789,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999957781843,1.0000000082506875,1.0975534440552224,112.1945379346840355,111.0969844906288131,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
1,582.3058129918656505,582.3058141022435166,1164.9039141328662481,87.3312581367059551,0.0000000000000000,494.9745548551597949,9.7053822294946119,9.7027450488337195,24748.7277498934672622,0.0000000000000000,0.0000000000000000,0.9999999980931362,1.0000000009418510,-1.0975554335024178,13.7358979898496827,14.8334534233521005,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999959459919,1.0000000080598159,1.0975536874371699,112.1945380897133333,111.0969844022761635,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
2,582.3058130088868438,582.3058141342379486,1164.9039143993529706,87.3312580801124341,0.0000000000000000,494.9745549287745234,9.7053822055138568,9.7026922958712714,24748.7277571637532674,0.0000000000000000,0.0000000000000000,0.9999999980674226,1.0000000009713603,-1.0975554390065891,13.7358979923071178,14.8334534313137070,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999960970998,1.0000000078879412,1.0975539066032809,112.1945382297952136,111.0969843231919327,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
3,582.3058130265401360,582.3058141654206565,1164.9039146439547494,87.3312580293039247,0.0000000000000000,494.9745549972362824,9.7053821810246177,9.7026384884116688,24748.7277639113854093,0.0000000000000000,0.0000000000000000,0.9999999980441883,1.0000000009980292,-1.0975554439828024,13.7358979945691573,14.8334534385519596,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999999962331698,1.0000000077331717,1.0975541039640149,112.1945383563923002,111.0969842524282853,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
4,582.1974541380568553,582.2868912376884509,1164.7955559621873363,87.3121408270157815,0.0000000000000000,494.8853133110410454,9.7053821560187448,9.7025836053908527,24748.7277701786551916,0.0000000000000000,0.0000000000000000,0.9998464037206434,1.0001849355314323,-1.1365907884496238,13.7133115298344759,14.8524808527324819,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000790886882376,0.9999118795713191,1.2379200036033495,112.2685374496268764,111.0210160250186817,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
5,582.3090859026830231,582.3060602363988210,1164.9046371872686905,87.3324853400943653,0.0000000000000000,494.9766005625887146,9.7054171336801911,9.7054171336801911,24748.7277760043398303,0.0000000000000000,0.0000000000000000,1.0000051960068483,0.9999937594444015,-1.0963694082216957,13.7364734276025100,14.8327555476637709,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999957232226228,1.0000048098208185,1.0909870861587052,112.1910497581561827,111.1005917922199302,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
6,582.3089689778164484,582.3060901663103550,1164.9048372409727108,87.3323706746260484,0.0000000000000000,494.9765983031904852,9.7054170055450228,9.7054170055450228,24748.7277814236076665,0.0000000000000000,0.0000000000000000,1.0000049438114249,0.9999940611953573,-1.0964186630209500,13.7364578668672621,14.8327934734459177,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999960330373013,1.0000044600204301,1.0914356956253783,112.1912998708875477,111.1003546726346940,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
7,582.3088606096400781,582.3061137614985228,1164.9050115334318889,87.3322671529058567,0.0000000000000000,494.9765934567342356,9.7054168757331922,9.7054168757331922,24748.7277864688476257,0.0000000000000000,0.0000000000000000,1.0000047171892426,0.9999943323404735,-1.0964629194428177,13.7364438257355594,14.8328274913197511,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999963121516159,1.0000041448753594,1.0918398460341194,112.1915246312130279,111.1001404857687334,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
8,582.3087601091048100,582.3061318433415181,1164.9051629215794037,87.3321736858209050,0.0000000000000000,494.9765864232839476,9.7054167452256976,9.7054167452256976,24748.7277911695200601,0.0000000000000000,0.0000000000000000,1.0000045135464244,0.9999945759848549,-1.0965026845475734,13.7364311523288265,14.8328579999968930,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999965636071662,1.0000038609529125,1.0922039422976866,112.1917265797767840,111.0999469883848718,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
9,582.3086668470269842,582.3061451398983763,1164.9052939641094326,87.3320892912927889,0.0000000000000000,494.9765775557342522,9.7054166148662659,9.7054166148662659,24748.7277955526296864,0.0000000000000000,0.0000000000000000,1.0000043305521440,0.9999947949186071,-1.0965384139878918,13.7364197101263734,14.8328853577241144,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999967901443689,1.0000036051602288,1.0925319531674660,112.1919080042434587,111.0997721579487205,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
