period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,rex1,rim1,exrate1,mktpen1,tau1,ntb1,rer2,tot2,nx2,rex2,rim2,exrate2,mktpen2,tau2,ntb2
0,100.0000017055472767,100.0000017055472767,189.2068175993344141,15.5396596941709912,1.5196646951893156,84.4603420113762979,1.6560867115853759,1.6530077623812471,4223.0170906563307653,0.0000000000000000,0.0000000000000000,1.0000000006433349,0.9999999990264881,1.0975553061371368,14.8334533178422010,13.7358980117050642,0.5499999996609511,0.5810315852053707,0.0000000000000000,0.0000000000000000,0.9999999998176767,1.0000000154870361,-1.0975557004195764,15.5034810737832487,16.6010367742028251,0.4299999914366804,0.6611200299689994,0.0000000000000000,0.0000000000000000
1,100.0000017084875168,100.0000017084874884,189.2068176533065298,15.5396596798536972,1.5196646959419522,84.4603420286338320,1.6560867430675545,1.6529463315313258,4223.0170922011029688,0.0000000000000000,0.0000000000000000,1.0000000006466820,0.9999999990064603,1.0975553083007306,14.8334533247714830,13.7358980164707525,0.5499999996548566,0.5810315852092192,0.0000000000000000,0.0000000000000000,1.0000000000596982,1.0000000150210520,-1.0975556553176187,15.5034810992620518,16.6010367545796704,0.4299999916385489,0.6611200298277671,0.0000000000000000,0.0000000000000000
2,100.0000017116188502,100.0000017116188502,189.2068177028069726,15.5396596669978404,1.5196646966193699,84.4603420446210151,1.6560867751726100,1.6528836767612951,4223.0170936312206322,0.0000000000000000,0.0000000000000000,1.0000000006498238,0.9999999989881809,1.0975553102744655,14.8334533310893821,13.7358980208149166,0.5499999996494771,0.5810315852126164,0.0000000000000000,0.0000000000000000,1.0000000002774403,1.0000000146018029,-1.0975556147450440,15.5034811222630253,16.6010367370080694,0.4299999918201587,0.6611200297007080,0.0000000000000000,0.0000000000000000
3,100.0000017148984170,100.0000017148984170,189.2068177482362898,15.5396596554561324,1.5196646972290864,84.4603420594422971,1.6560868079134989,1.6528197737827213,4223.0170949561515954,0.0000000000000000,0.0000000000000000,1.0000000006527667,0.9999999989715036,1.0975553120747747,14.8334533368524717,13.7358980247776969,0.5499999996447312,0.5810315852156132,0.0000000000000000,0.0000000000000000,1.0000000004733378,1.0000000142246022,-1.0975555782473343,15.5034811430306441,16.6010367212779784,0.4299999919835427,0.6611200295864000,0.0000000000000000,0.0000000000000000
4,99.9123755459848866,99.9123755459849150,189.1171924192382789,15.5451457861533928,1.5210577163589631,84.3672297598314884,1.6560868413033945,1.6527545978289810,4223.0170961844924022,0.0000000000000000,0.0000000000000000,1.0000848714003159,0.9997189936127830,1.1247530165238118,14.8447127882032994,13.7160076921206660,0.5501444382655873,0.5809403832948731,0.0000000000000000,0.0000000000000000,1.0001521371912456,0.9995623088080858,-1.0487062970486960,15.5257860445211211,16.5673704948665055,0.4302507607595354,0.6609446003002248,0.0000000000000000,0.0000000000000000
5,100.0019739695460999,100.0019739695460999,189.2094544757010510,15.5395692405063048,1.5196406224857837,84.4624047290398039,1.6561234311715121,1.6561234311715121,4223.0170973240701642,0.0000000000000000,0.0000000000000000,1.0000018075663342,0.9999993160643545,1.0975117713034663,14.8335092754856390,13.7359889705559031,0.5499993017686104,0.5810320259049657,0.0000000000000000,0.0000000000000000,0.9999966888194171,1.0000093546363240,-1.0986255864580823,15.5030682077453132,16.6018464805425658,0.4299942382895920,0.6611240550326946,0.0000000000000000,0.0000000000000000
6,100.0019832970365741,100.0019832970365457,189.2094165803916894,15.5395875640332175,1.5196399857238321,84.4623957330033619,1.6561233881365522,1.6561233881365522,4223.0170983820671609,0.0000000000000000,0.0000000000000000,1.0000014248220677,1.0000000691559687,1.0974490763136853,14.8334767064785513,13.7360295746573797,0.5499989989960489,0.5810322170975160,0.0000000000000000,0.0000000000000000,0.9999967378723200,1.0000092862549863,-1.0986166335067225,15.5030674182690849,16.6018355776320021,0.4299943101577032,0.6611240047516413,0.0000000000000000,0.0000000000000000
7,100.0019911652230604,100.0019911652230604,189.2093821138868464,15.5396038243207499,1.5196394212889284,84.4623873409023105,1.6561233477687438,1.6561233477687438,4223.0170993650071978,0.0000000000000000,0.0000000000000000,1.0000010824417127,1.0000007427367026,1.0973929985430235,14.8334475481054486,13.7360658656818160,0.5499987280908571,0.5810323881667503,0.0000000000000000,0.0000000000000000,0.9999967834376789,1.0000092218451919,-1.0986083057099627,15.5030668223380577,16.6018255627715021,0.4299943758507873,0.6611239587908216,0.0000000000000000,0.0000000000000000
8,100.0019977549473822,100.0019977549473538,189.2093507323291135,15.5396182509086032,1.5196389210351784,84.4623795040387790,1.6561233098845931,1.6561233098845931,4223.0171002788647456,0.0000000000000000,0.0000000000000000,1.0000007761693628,1.0000013451991245,1.0973428395033960,14.8334214400808300,13.7360982986441531,0.5499984856992766,0.5810325412304593,0.0000000000000000,0.0000000000000000,0.9999968257140598,1.0000091613134363,-1.0986005689549749,15.5030663852466120,16.6018163651542991,0.4299944358789135,0.6611239167933753,0.0000000000000000,0.0000000000000000
9,100.0020032263815608,100.0020032263815608,189.2093221284193589,15.5396310480413149,1.5196384777276155,84.4623721783402459,1.6561232743160341,1.6561232743160341,4223.0171011290576644,0.0000000000000000,0.0000000000000000,1.0000005021977565,1.0000018840501679,1.0972979744310880,14.8333980603325593,13.7361272807201527,0.5499982688204714,0.5810326781835761,0.0000000000000000,0.0000000000000000,0.9999968648960496,1.0000091045434549,-1.0985933895470659,15.5030660775530809,16.6018079193314279,0.4299944907125296,0.6611238784301630,0.0000000000000000,0.0000000000000000
