period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,exitrate0,tau0,ntb0,rer2,tot2,nx2,rex2,rim2,exrate2,exitrate2,tau2,ntb2
44,581.4178190638938304,572.9097730662244885,1164.7370002348493472,87.0664521901246928,19.7582098274634781,494.3513668737691660,9.6926189289508979,0.0000000000000000,24748.7280623241422290,0.0000000000000000,0.0000000000000000,1.0148505862487456,1.1137529790121099,-2.8958926014052091,6.1479376178017207,9.4000447289521123,0.0286987042643630,0.5670283484055074,0.0212371862378000,0.0521250000000000,0.9999636829169657,0.9938892089758548,2.8869846993575408,114.4700785709970461,110.8424433918839469,0.3780732767078719,0.4432239389026442,0.0000000000000000,0.0000000000000000
45,581.4157552482369056,572.9052584462032200,1164.7324644430700573,87.0664300205125699,19.7581933668512661,494.3493252277243073,9.6926080270283510,0.0000000000000000,24748.7280635525166872,0.0000000000000000,0.0000000000000000,1.0148549811274472,1.1137364193125299,-2.8954293325271578,6.1481213042107434,9.3997108367552222,0.0286996219967201,0.5670237568198272,0.0212371862378000,0.0521250000000000,0.9999630755708855,0.9938912175403216,2.8861877197396666,114.4691733400166953,110.8425652680756031,0.3780720470724072,0.4432249172836967,0.0000000000000000,0.0000000000000000
46,581.4137961663088845,572.9011135140718807,1164.7281778105889316,87.0664038266180000,19.7581784402364953,494.3473923396909413,9.6925977076478080,0.0000000000000000,24748.7280648162741272,0.0000000000000000,0.0000000000000000,1.0148589040087939,1.1137216376737986,-2.8950152125462623,6.1482840145395627,9.3994108732622674,0.0287004412452734,0.5670196590357612,0.0212371862378000,0.0521250000000000,0.9999625309368507,0.9938930184039793,2.8854726332612870,114.4683398490626729,110.8426533920749506,0.3780709440336046,0.4432257952090224,0.0000000000000000,0.0000000000000000
47,581.4119365498780780,572.8973044610403349,1164.7241259515139973,87.0663743204576122,19.7581649042201519,494.3455622294203522,9.6925879398166632,0.0000000000000000,24748.7280661158802104,0.0000000000000000,0.0000000000000000,1.0148624055699611,1.1137084432310007,-2.8946449964922643,6.1484280649006813,9.3991412960556726,0.0287011725709599,0.5670160020236525,0.0212371862378000,0.0521250000000000,0.9999620425383470,0.9938946330280904,2.8848309983834355,114.4675718127100623,110.8427123446262925,0.3780699545000357,0.4432265830530211,0.0000000000000000,0.0000000000000000
48,581.4101713939687670,572.8938008092613927,1164.7202953775913556,87.0663421309197361,19.7581526287395093,494.3438292630489741,9.6925786942669419,0.0000000000000000,24748.7280674518806336,0.0000000000000000,0.0000000000000000,1.0148655310507413,1.1136966655951863,-2.8943140004365739,6.1485555197440211,9.3988989376258480,0.0287018254036229,0.5670127384417947,0.0212371862378000,0.0521250000000000,0.9999616045673153,0.9938960806589069,2.8842552445930210,114.4668635362582592,110.8427461771075428,0.3780690667362043,0.4432272901162402,0.0000000000000000,0.0000000000000000
49,581.4084959439052227,572.8905750697482517,1164.7166734367883691,87.0663078125382697,19.7581414958403592,494.3421881313669246,9.6925699433540391,0.0000000000000000,24748.7280688246355567,0.0000000000000000,0.0000000000000000,1.0148683208361733,1.1136861526592143,-2.8940180414675511,6.1486682189563497,9.3986809654528773,0.0287024081628802,0.5670098260272567,0.0212371862378000,0.0521250000000000,0.9999612118152446,0.9938973785559515,2.8837385825395216,114.4662098578946541,110.8427584690988539,0.3780682702221256,0.4432279247365425,0.0000000000000000,0.0000000000000000
50,581.4069056830167028,572.8876024361873078,1164.7132482565532428,87.0662718534097309,19.7581313985600673,494.3406338296069862,9.6925616609619389,0.0000000000000000,24748.7280702346324688,0.0000000000000000,0.0000000000000000,1.0148708109768847,1.1136767686382425,-2.8937533840783143,6.1487678020642358,9.3984848463479551,0.0287029283661306,0.5670072270517986,0.0212371862378000,0.0521250000000000,0.9999608596113396,0.9938985421968396,2.8832749234225474,114.4656060966397462,110.8427523798737440,0.3780675555274107,0.4432284943888068,0.0000000000000000,0.0000000000000000
51,581.4053963209333915,572.8848605108024685,1164.7100086913289942,87.0662346823452395,19.7581222399137175,494.3391616385880525,9.6925538224144461,0.0000000000000000,24748.7280716822933755,0.0000000000000000,0.0000000000000000,1.0148730336538021,1.1136683923198105,-2.8935166922824198,6.1488557298474573,9.3983083145981627,0.0287033927250585,0.5670049078359368,0.0212371862378000,0.0521250000000000,0.9999605437670714,0.9938995854610019,2.8828588067050021,114.4650480055054373,110.8427306944296191,0.3780669141983978,0.4432290057742888,0.0000000000000000,0.0000000000000000
52,581.4039637824824922,572.8823290589407407,1164.7069442740241811,87.0661966753187642,19.7581139319721828,494.3377671071638133,9.6925464043920542,0.0000000000000000,24748.7280731681348698,0.0000000000000000,0.0000000000000000,1.0148750175931240,1.1136609155012376,-2.8933049868501000,6.1489333036372296,9.3981493435115837,0.0287038072318496,0.5670028383149758,0.0212371862378000,0.0521250000000000,0.9999602605264287,0.9939005207945030,2.8824853352761579,114.4645317293326627,110.8426958646415414,0.3780663386569575,0.4432294649007473,0.0000000000000000,0.0000000000000000
53,581.4026041971432051,572.8799897893184152,1164.7040451710893194,87.0661581612963715,19.7581063950235887,494.3364460358467340,9.6925393848540100,0.0000000000000000,24748.7280746925462154,0.0000000000000000,0.0000000000000000,1.0148767884368921,1.1136542415942732,-2.8931156071165676,6.1490016825459852,9.3980061199977456,0.0287041772362094,0.5670009916514763,0.0212371862378000,0.0521250000000000,0.9999600065212926,0.9939013593579057,2.8821501172957227,114.4640537668330040,110.8426500460485471,0.3780658221097566,0.4432298771542950,0.0000000000000000,0.0000000000000000
54,581.4013138890209120,572.8778261572238080,1164.7013021409272824,87.0661194275028976,19.7580995568129296,494.3351944615180855,9.6925327429652413,0.0000000000000000,24748.7280762560149014,0.0000000000000000,0.0000000000000000,1.0148783690738588,1.1136482843792379,-2.8929461768776923,6.1490618988477772,9.3978770218616923,0.0287045075141599,0.5669993438891803,0.0212371862378000,0.0521250000000000,0.9999597787314154,0.9939021111588827,2.8818492140477616,114.4636109364176377,110.8425951307148694,0.3780653584669449,0.4432302473637735,0.0000000000000000,0.0000000000000000
55,581.4000893673397741,572.8758231882576410,1164.6987064953632398,87.0660807241708596,19.7580933518500217,494.3340086431688860,9.6925264590278122,0.0000000000000000,24748.7280778589920374,0.0000000000000000,0.0000000000000000,1.0148797799349276,1.1136429668926140,-2.8927945739344318,6.1491148717071562,9.3977605975202145,0.0287048023294896,0.5669978736439947,0.0212371862378000,0.0521250000000000,0.9999595744485209,0.9939027851711968,2.8815790931639782,114.4632003454292430,110.8425327766022548,0.3780649422692401,0.4432305798584962,0.0000000000000000,0.0000000000000000
56,581.3989273173992842,572.8739673204353267,1164.6962500639247082,87.0660422688425513,19.7580877207813721,494.3328850485568182,9.6925205144166036,0.0000000000000000,24748.7280795019833022,0.0000000000000000,0.0000000000000000,1.0148810392569216,1.1136382204338549,-2.8926589028979732,6.1491614194325575,9.3976555478831543,0.0287050654886319,0.5669965618280848,0.0212371862378000,0.0521250000000000,0.9999593912441023,0.9939033894413938,2.8813365866819254,114.4628193624267283,110.8424644337864748,0.3780645686225784,0.4432308785199882,0.0000000000000000,0.0000000000000000
57,581.3978245920052359,572.8722462627246159,1164.6939251607520873,87.0660042502567109,19.7580826098201001,494.3318203417484256,9.6925148915189254,0.0000000000000000,24748.7280811853634077,0.0000000000000000,0.0000000000000000,1.0148821633180856,1.1136339836786429,-2.8925374709059337,6.1492022704119860,9.3975607101674630,0.0287053003896797,0.5669953914034961,0.0212371862378000,0.0521250000000000,0.9999592269405461,0.9939039311845277,2.8811188534238568,114.4624655922299326,110.8423913678863642,0.3780642331395401,0.4432311468283714,0.0000000000000000,0.0000000000000000
58,581.3967782033306548,572.8706488682867075,1164.6917245538741099,87.0659668318692042,19.7580779702269211,494.3308113714614365,9.6925095736778140,0.0000000000000000,24748.7280829096562229,0.0000000000000000,0.0000000000000000,1.0148831666483302,1.1136302018872477,-2.8924287659398988,6.1492380728713121,9.3974750434385861,0.0287055100661539,0.5669943471621994,0.0212371862378000,0.0521250000000000,0.9999590795852250,0.9939044168700027,2.8809233452593617,114.4621368534278218,110.8423146809661546,0.3780639318868250,0.4432313879039574,0.0000000000000000,0.0000000000000000
59,581.3957853151891868,572.8691650208530746,1164.6896414367165562,87.0659301550361704,19.7580737578403500,494.3298551601531017,9.6925045451387550,0.0000000000000000,24748.7280846751273202,0.0000000000000000,0.0000000000000000,1.0148840622169384,1.1136268261977458,-2.8923314374644278,6.1492694035820206,9.3973976156935990,0.0287056972260889,0.5669934155297072,0.0212371862378000,0.0521250000000000,0.9999589474272735,0.9939048522985670,2.8807477768558272,114.4618311581233883,110.8422353301953791,0.3780636613381946,0.4432316045445085,0.0000000000000000,0.0000000000000000
60,581.3948432357293541,572.8677855329019621,1164.6876694016630154,87.0658943419229274,19.7580699326486737,494.3289488938063414,9.6924997909996140,0.0000000000000000,24748.7280864821586874,0.0000000000000000,0.0000000000000000,1.0148848616001249,1.1136238129950635,-2.8922442791406722,6.1492967756306358,9.3973275923228066,0.0287058642869328,0.5669925843897333,0.0212371862378000,0.0521250000000000,0.9999588288967461,0.9939052426713906,2.8805900985355208,114.4615466936692485,110.8421541445060683,0.3780634183322681,0.4432317992586654,0.0000000000000000,0.0000000000000000
61,581.3939494104722598,572.8665020543227229,1164.6858024154826126,87.0658594981227765,19.7580664584028973,494.3280899123494692,9.6924952971635907,0.0000000000000000,24748.7280883306120813,0.0000000000000000,0.0000000000000000,1.0148855751306274,1.1136211233477189,-2.8921662133917616,6.1493206453498912,9.3972642258010808,0.0287060134067133,0.5669918429276478,0.0212371862378000,0.0521250000000000,0.9999587225859377,0.9939055926519835,2.8804484719534287,114.4612818062132078,110.8420718394357323,0.3780632000347148,0.4432319742958768,0.0000000000000000,0.0000000000000000
62,581.3931014157523123,572.8653069905462871,1164.6840347965485307,87.0658257150711421,19.7580633022647056,494.3272757006810707,9.6924910502949597,0.0000000000000000,24748.7280902198835975,0.0000000000000000,0.0000000000000000,1.0148862120312454,1.1136187225049434,-2.8920962776213130,6.1493414185032611,9.3972068464787082,0.0287061465118615,0.5669911814907401,0.0212371862378000,0.0521250000000000,0.9999586272326251,0.9939059064217576,2.8803212482714144,114.4610349858644014,110.8419890303814839,0.3780630039043610,0.4432321316732463,0.0000000000000000,0.0000000000000000
63,581.3922969524808195,572.8641934290910740,1164.6823611936442830,87.0657930722379518,19.7580604344867936,494.3265038802428535,9.6924870377774663,0.0000000000000000,24748.7280921482924896,0.0000000000000000,0.0000000000000000,1.0148867805340416,1.1136165794478317,-2.8920336119097483,6.1493594558005942,9.3971548543538379,0.0287062653220582,0.5669905914634444,0.0212371862378000,0.0521250000000000,0.9999585417050370,0.9939061877298503,2.8802069485889774,114.4608048533114726,110.8419062444056635,0.3780628276627983,0.4432322731996041,0.0000000000000000,0.0000000000000000
64,581.3915338402634916,572.8631550736807867,1164.6807765663065766,87.0657616391438438,19.7580578281231567,494.3257722011196620,9.6924832476751739,0.0000000000000000,24748.7280941116987378,0.0000000000000000,0.0000000000000000,1.0148872879867543,1.1136146664886046,-2.8919774480280926,6.1493750778192711,9.3971077117219028,0.0287063713724130,0.5669900651559757,0.0212371862378000,0.0521250000000000,0.9999584649883810,0.9939064399377990,2.8801042463979769,114.4605901477648899,110.8418239307627857,0.3780626692671567,0.4432324004970630,0.0000000000000000,0.0000000000000000
65,581.3908100118278526,572.8621861851220274,1164.6792761665601574,87.0657314772241904,19.7580554587660551,494.3250785346035627,9.6924796686956398,0.0000000000000000,24748.7280961010546889,0.0000000000000000,0.0000000000000000,1.0148877409477848,1.1136129589129014,-2.8919270996294983,6.1493885693931105,9.3970649366080998,0.0287064660332700,0.5669895957048874,0.0212371862378000,0.0521250000000000,0.9999583961727537,0.9939066660596192,2.8800119518415244,114.4603897160719725,110.8417424702787457,0.3780625268856916,0.4432325150203583,0.0000000000000000,0.0000000000000000
66,581.3901235077726142,572.8612815282554038,1164.6778555219675582,87.0657026415576354,19.7580533043078432,494.3244208662149504,9.6924762901552608,0.0000000000000000,24748.7280980960495071,0.0000000000000000,0.0000000000000000,1.0148881452709881,1.1136114346604826,-2.8918819534921925,6.1494001835268435,9.3970260968998858,0.0287065505278900,0.5669891769843016,0.0212371862378000,0.0521250000000000,0.9999583344423055,0.9939068687977529,2.8799289975995208,114.4602025029062986,110.8416621837135523,0.3780623988759110,0.4432326180741658,0.0000000000000000,0.0000000000000000
67,581.3894724715946722,572.8604363243258604,1164.6765104198686913,87.0656751824731003,19.7580513447245956,494.3237972891215577,9.6924731019466677,0.0000000000000000,24748.7281000496805063,0.0000000000000000,0.0000000000000000,1.0148885061813555,1.1136100740401842,-2.8918414617005972,6.1494101448875362,9.3969908051042061,0.0287066259482333,0.5669888035266897,0.0212371862378000,0.0521250000000000,0.9999582790655223,0.9939070505752764,2.8798544262409109,114.4600275419147124,110.8415833391936900,0.3780622837649681,0.4432327108286352,0.0000000000000000,0.0000000000000000
68,581.3888551450430668,572.8596462082572316,1164.6752368928180204,87.0656491470757317,19.7580495618798615,494.3232059979674204,9.6924700945080478,0.0000000000000000,24748.7281018453832075,0.0000000000000000,0.0000000000000000,1.0148888283425797,1.1136088594754605,-2.8918051346640619,6.1494186529187012,9.3969587136630377,0.0287066932690543,0.5669884704521116,0.0212371862378000,0.0521250000000000,0.9999582293865086,0.9939072135648293,2.8797873788633410,114.4598639477291329,110.8415061588533348,0.3780621802320812,0.4432327943333114,0.0000000000000000,0.0000000000000000
69,581.3882698637095245,572.8589071902625847,1164.6740312050274042,87.0656245806816997,19.7580479393475983,494.3226452830277822,9.6924672587942577,0.0000000000000000,24748.7281031681013701,0.0000000000000000,0.0000000000000000,1.0148891159173576,1.1136077752772793,-2.8917725348847254,6.1494258846167460,9.3969295107679951,0.0287067533604814,0.5669881734050831,0.0212371862378000,0.0521250000000000,0.9999581848171767,0.9939073597145223,2.8797270849235161,114.4597109087622329,110.8414308247282918,0.3780620870927967,0.4432328695295958,0.0000000000000000,0.0000000000000000
70,581.3877150529385744,572.8582156214248471,1164.6728898398635010,87.0656015282066988,19.7580464622497942,494.3221135247317761,9.6924645862496739,0.0000000000000000,24748.7281030917911266,0.0000000000000000,0.0000000000000000,1.0148893726212183,1.1136068074413916,-2.8917432713932554,6.1494319970073823,9.3969029166209310,0.0287068069992500,0.5669879084981937,0.0212371862378000,0.0521250000000000,0.9999581448302339,0.9939074907711934,2.8796728531028037,114.4595676807058169,110.8413574840188289,0.3780620032848462,0.4432329372619588,0.0000000000000000,0.0000000000000000
71,581.3871892239585577,572.8575681627544327,1164.6718094882594414,87.0655800355062865,19.7580451171119194,494.3216091884523848,9.6924620687826302,0.0000000000000000,24748.7280987013691629,0.0000000000000000,0.0000000000000000,1.0148896017705760,1.1136059434673289,-2.8917169947799080,6.1494371293543582,9.3968786800918274,0.0287068548787281,0.5669876722617928,0.0212371862378000,0.0521250000000000,0.9999581089529029,0.9939076083012662,2.8796240631226055,114.4594335806659160,110.8412862537691410,0.3780619278555215,0.4432329982879220,0.0000000000000000,0.0000000000000000
72,581.3866909703053807,572.8569617574570429,1164.6707870380378154,87.0655601506829129,19.7580438917290344,494.3211308196225673,9.6924596987413878,0.0000000000000000,24748.7280009460264409,0.0000000000000000,0.0000000000000000,1.0148898063256140,1.1136051721968956,-2.8916933927600832,6.1494414051284370,9.3968565757339277,0.0287068976178676,0.5669874615990699,0.0212371862378000,0.0521250000000000,0.9999580767612848,0.9939077137094393,2.8795801584023906,114.4593079818755541,110.8412172250373260,0.3780618599503063,0.4432330532870808,0.0000000000000000,0.0000000000000000
73,581.3862189644952423,572.8563936060394326,1164.6698195640856284,87.0655419254017033,19.7580427750470022,494.3206770390935390,9.6924574688915470,0.0000000000000000,24748.7279929821052065,0.0000000000000000,0.0000000000000000,1.0148899889285721,1.1136044836699446,-2.8916721862135395,6.1494449337642463,9.3968364011159142,0.0287069357691940,0.5669872737459470,0.0212371862378000,0.0521250000000000,0.9999580478753112,0.9939078082554634,2.8795406394767724,114.4591903089293652,110.8411504666124330,0.3780617988027302,0.4432331028691225,0.0000000000000000,0.0000000000000000
74,581.3857719549391732,572.8558611439765400,1164.6689043193291582,87.0655254161972465,19.7580417570534941,494.3202465387419124,9.6924553723948215,0.0000000000000000,24748.7279901613328548,0.0000000000000000,0.0000000000000000,1.0148901519379212,1.1136038689956855,-2.8916531256495599,6.1494478122262173,9.3968179744389211,0.0287069698259430,0.5669871062352716,0.0212371862378000,0.0521250000000000,0.9999580219542110,0.9939078930691980,2.8795050580843906,114.4590800334831897,110.8410860283304942,0.3780617437252515,0.4432331475810593,0.0000000000000000,0.0000000000000000
75,581.3853487631185999,572.8553620217102207,1164.6680387264909768,87.0655106858071406,19.7580408286793379,494.3198380773114877,9.6924534027891127,0.0000000000000000,24748.7279890555037127,0.0000000000000000,0.0000000000000000,1.0148902974588636,1.1136033202377773,-2.8916359880505205,6.1494501264060624,9.3968011324077754,0.0287070002284249,0.5669869568648698,0.0212371862378000,0.0521250000000000,0.9999579986924496,0.9939079691640981,2.8794730118733867,114.4589766703888500,110.8410239440319458,0.3780616941010895,0.4432331879136911,0.0000000000000000,0.0000000000000000
76,581.3849482810004474,572.8548940867290185,1164.6672203705907123,87.0654978045446768,19.7580399817101160,494.3194504764556996,9.6924515539698177,0.0000000000000000,24748.7279885686657508,0.0000000000000000,0.0000000000000000,1.0148904273705652,1.1136028303117895,-2.8916205740545546,6.1494519523688123,9.3967857283296663,0.0287070273697120,0.5669868236690103,0.0212371862378000,0.0521250000000000,0.9999579778160906,0.9939080374493151,2.8794441396529464,114.4588797742155037,110.8409642342029429,0.3780616493769168,0.4432332243073874,0.0000000000000000,0.0000000000000000
77,581.3845694687183823,572.8544553675631050,1164.6664469921790896,87.0654868517310518,19.7580392087043002,494.3190826169873162,9.6924498201723033,0.0000000000000000,24748.7279883268965932,0.0000000000000000,0.0000000000000000,1.0148905433504605,1.1136023928936432,-2.8916067054402239,6.1494533574650108,9.3967716304161915,0.0287070516007101,0.5669867048929434,0.0212371862378000,0.0521250000000000,0.9999579590795272,0.9939080987405796,2.8794181171212898,114.4587889361203139,110.8409069083518972,0.3780616090562829,0.4432332571573069,0.0000000000000000,0.0000000000000000
78,581.3842113524832484,572.8540440594736083,1164.6657164812613701,87.0654779171950111,19.7580385029213019,494.3187334352882090,9.6924481959555191,0.0000000000000000,24748.7279881914510042,0.0000000000000000,0.0000000000000000,1.0148906468959551,1.1136020023379032,-2.8915942228812037,6.1494544013228607,9.3967587202671297,0.0287070732346911,0.5669865989701445,0.0212371862378000,0.0521250000000000,0.9999579422625577,0.9939081537699295,2.8793946530490899,114.4587037810473618,110.8408519671282448,0.3780615726937515,0.4432332868180227,0.0000000000000000,0.0000000000000000
79,581.3838730227603264,572.8536585117259392,1164.6650268719172345,87.0654711028691253,19.7580378582545428,494.3184019198911301,9.6924466761866697,0.0000000000000000,24748.7279881060239859,0.0000000000000000,0.0000000000000000,1.0148907393437894,1.1136016536048503,-2.8915829839428788,6.1494551367340478,9.3967468915180241,0.0287070925513343,0.5669865045020361,0.0212371862378000,0.0521250000000000,0.9999579271677600,0.9939082031944741,2.8793734858419526,114.4586239652172424,110.8407994042437110,0.3780615398896224,0.4432333136077099,0.0000000000000000,0.0000000000000000
80,581.3835536327048885,572.8532972162797705,1164.6643763376093830,87.0654665244926065,19.7580372691720285,494.3180871082122394,9.6924452560269394,0.0000000000000000,24748.7279880457754189,0.0000000000000000,0.0000000000000000,1.0148908218873434,1.1136013421953501,-2.8915728612930893,6.1494556104451439,9.3967360486326275,0.0287071098003380,0.5669864202398385,0.0212371862378000,0.0521250000000000,0.9999579136181395,0.9939082476042422,2.8793543804607680,114.4585491738886418,110.8407492082040733,0.3780615102852152,0.4432333378118712,0.0000000000000000,0.0000000000000000
81,581.3832523968560508,572.8529587977916435,1164.6637631871542453,87.0654643134453181,19.7580367306618712,494.3177880834107327,9.6924439309182020,0.0000000000000000,24748.7279879990273912,0.0000000000000000,0.0000000000000000,1.0148908955920666,1.1136010640927783,-2.8915637411074009,6.1494558638638264,9.3967261058273852,0.0287071252046385,0.5669863450684176,0.0212371862378000,0.0521250000000000,0.9999579014550214,0.9939082875292267,2.8793371256614080,114.4584791193705939,110.8407013638809673,0.3780614835586359,0.4432333596866878,0.0000000000000000,0.0000000000000000
82,581.3829685901068842,572.8526420048119689,1164.6631858613875465,87.0654646187436896,19.7580362381833901,494.3175039713632941,9.6924426965706978,0.0000000000000000,24748.7279879600682762,0.0000000000000000,0.0000000000000000,1.0148909614092747,1.1136008157111013,-2.8915555216439790,6.1494559336918249,9.3967169861121995,0.0287071389632882,0.5669862779918062,0.0212371862378000,0.0521250000000000,0.9999578905361600,0.9939083234457277,2.8793215315074860,114.4584135392614286,110.8406558539580544,0.3780614594209849,0.4432333794620139,0.0000000000000000,0.0000000000000000
83,581.3827015469638582,572.8523457021090053,1164.6626429305010788,87.0654676092022015,19.7580357876221484,494.3172339377616709,9.6924415489516420,0.0000000000000000,24748.7279879258821893,0.0000000000000000,0.0000000000000000,1.0148910201884564,1.1136005938486166,-2.8915481119746920,6.1494558524898686,9.3967086204376393,0.0287071512540198,0.5669862181203336,0.0212371862378000,0.0521250000000000,0.9999578807340417,0.9939083557820487,2.8793074271393664,114.4583521949005274,110.8406126602602484,0.3780614376129514,0.4432333973440693,0.0000000000000000,0.0000000000000000
84,581.3824506610791332,572.8520688639965783,1164.6621330920827404,87.0654734758053195,19.7580353752507278,494.3169771852739132,9.6924404842747727,0.0000000000000000,24748.7279878950212151,0.0000000000000000,0.0000000000000000,1.0148910726882747,1.1136003956465998,-2.8915414308518050,6.1494556491848966,9.3967009469359120,0.0287071622355388,0.5669861646590790,0.0212371862378000,0.0521250000000000,0.9999578719343701,0.9939083849236052,2.8792946587763311,114.4582948700263358,110.8405717649890221,0.3780614179017830,0.4432334135178256,0.0000000000000000,0.0000000000000000
85,581.3822153851243684,572.8518105686661102,1164.6616551698748481,87.0654824343098710,19.7580349976915741,494.3167329508145258,9.6924394989907583,0.0000000000000000,24748.7279878666522563,0.0000000000000000,0.0000000000000000,1.0148911195863899,1.1136002185524230,-2.8915354056987956,6.1494553495247501,9.3966939102479277,0.0287071720495663,0.5669861168976077,0.0212371862378000,0.0521250000000000,0.9999578640347024,0.9939084112175306,2.8792830879131515,114.4582413696150809,110.8405331518871577,0.3780614000785457,0.4432334281491710,0.0000000000000000,0.0000000000000000
