period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer1,tot1,nx1,rex1,rim1,exrate1,exitrate1,tau1,ntb1,rer2,tot2,nx2,rex2,rim2,exrate2,exitrate2,tau2,ntb2
46,98.4989813239017735,98.4989813239017309,187.6134073931023636,15.1473486347019310,3.9750649298695580,83.3516326891998460,1.6342412656061058,0.0000000000000000,4223.0171145361782692,0.0000000000000000,0.0000000000000000,0.9853586503994795,0.8978904298642110,2.8950152125462623,9.3994108732622674,6.1482840145395627,0.4175782414854137,0.5824217585146022,0.0357662801726000,0.0653100000000000,0.9853217299339829,1.0271710665070199,-3.0855954118104467,15.3777774227864725,19.0051056929265663,0.4365335246534733,0.4444917674610056,0.0000000000000000,0.0000000000000000
47,98.4989515489311316,98.4989515489310890,187.6120556355146789,15.1477712264806446,3.9750115811025060,83.3511803224504888,1.6342391762743871,0.0000000000000000,4223.0171145063650329,0.0000000000000000,0.0000000000000000,0.9853552506345782,0.8979010674453370,2.8946449964922643,9.3991412960556726,6.1484280649006813,0.4175736485683996,0.5824263514316163,0.0357662801726000,0.0653100000000000,0.9853178490504376,1.0271854395486839,-3.0863691478641844,15.3772621141914581,19.0056329438148310,0.4365263878663244,0.4444975586161595,0.0000000000000000,0.0000000000000000
48,98.4989071775277409,98.4989071775277125,187.6108147151957155,15.1481473969871310,3.9749639369996346,83.3507597805406135,1.6342372225376496,0.0000000000000000,4223.0171144777368681,0.0000000000000000,0.0000000000000000,0.9853522160365913,0.8979105629858162,2.8943140004365739,9.3988989376258480,6.1485555197440211,0.4175695491431262,0.5824304508568897,0.0357662801726000,0.0653100000000000,0.9853143830119098,1.0271982761201708,-3.0870596144032252,15.3767991097110635,19.0061003930686816,0.4365200125422459,0.4445027320565524,0.0000000000000000,0.0000000000000000
49,98.4988506872697940,98.4988506872697656,187.6096745108360437,15.1484821778260450,3.9749213872611411,83.3503685094437401,1.6342353946297223,0.0000000000000000,4223.0171144502555762,0.0000000000000000,0.0000000000000000,0.9853495073883841,0.8979190390508502,2.8940180414675511,9.3986809654528773,6.1486682189563497,0.4175658902001322,0.5824341097998837,0.0357662801726000,0.0653100000000000,0.9853112874696428,1.0272097404352496,-3.0876757416424390,15.3763829593759294,19.0065146078221900,0.4365143173693371,0.4445073537317846,0.0000000000000000,0.0000000000000000
50,98.4987842440292525,98.4987842440292241,187.6086258952192907,15.1487800594835598,3.9748833868660030,83.3500041845456963,1.6342336835903746,0.0000000000000000,4223.0171144239011483,0.0000000000000000,0.0000000000000000,0.9853470896827050,0.8979266050622196,2.8937533840783143,9.3984848463479551,6.1487678020642358,0.4175626244205380,0.5824373755794778,0.0357662801726000,0.0653100000000000,0.9853085228146494,1.0272199791695840,-3.0882255040930495,15.3760087886914683,19.0068814450809320,0.4365092297186856,0.4445114825502331,0.0000000000000000,0.0000000000000000
51,98.4987097376745311,98.4987097376745027,187.6076606335134329,15.1490450493066078,3.9748494490955268,83.3496646883679233,1.6342320811915143,0.0000000000000000,4223.0171143986408424,0.0000000000000000,0.0000000000000000,0.9853449316706591,0.8979333587056062,2.8935166922824198,9.3983083145981627,6.1488557298474573,0.4175597095658558,0.5824402904341601,0.0357662801726000,0.0653100000000000,0.9853060536715201,1.0272291233310296,-3.0887160226606252,15.3756722374986143,19.0072061278656577,0.4365046847177589,0.4445151711302633,0.0000000000000000,0.0000000000000000
52,98.4986288138533865,98.4986288138533581,187.6067712922006194,15.1492807233022226,3.9748191393014309,83.3493480905511746,1.6342305798706416,0.0000000000000000,4223.0171143744546498,0.0000000000000000,0.0000000000000000,0.9853430054585424,0.8979393871876333,2.8933049868501000,9.3981493435115837,6.1489333036372296,0.4175571079331332,0.5824428920668827,0.0357662801726000,0.0653100000000000,0.9853038484462183,1.0272372899310716,-3.0891536558621144,15.3753694053468575,19.0074933132477817,0.4365006244225483,0.4445184664714069,0.0000000000000000,0.0000000000000000
53,98.4985429022735559,98.4985429022735275,187.6059511575159604,15.1494902724084604,3.9747920693385437,83.3490526298650991,1.6342291726708147,0.0000000000000000,4223.0171143513016432,0.0000000000000000,0.0000000000000000,0.9853412861478433,0.8979447683586520,2.8931156071165676,9.3980061199977456,6.1490016825459852,0.4175547858683775,0.5824452141316383,0.0357662801726000,0.0653100000000000,0.9853018789220962,1.0272445834784196,-3.0895440813175199,15.3750968026839949,19.0077471531313620,0.4364969970778998,0.4445214105540928,0.0000000000000000,0.0000000000000000
54,98.4984532418638565,98.4984532418638281,187.6051941624012045,15.1496765438285319,3.9747678925922463,83.3487766980353371,1.6342278531864625,0.0000000000000000,4223.0171143291536282,0.0000000000000000,0.0000000000000000,0.9853397515138330,0.8979495717154656,2.8929461768776923,9.3978770218616923,6.1490618988477772,0.4175527133321168,0.5824472866678989,0.0357662801726000,0.0653100000000000,0.9853001198990403,1.0272510973135707,-3.0898923685469235,15.3748513072458408,19.0079713485491055,0.4364937564567521,0.4445240408753980,0.0000000000000000,0.0000000000000000
55,98.4983609031459366,98.4983609031458656,187.6044948210676466,15.1498420779480742,3.9747462995365899,83.3485188251978570,1.6342266155144547,0.0000000000000000,4223.0171143079751346,0.0000000000000000,0.0000000000000000,0.9853383817185898,0.8979538592968348,2.8927945739344318,9.3977605975202145,6.1491148717071562,0.4175508635114669,0.5824491364885490,0.0357662801726000,0.0653100000000000,0.9852985488711153,1.0272569148012221,-3.0902030440000434,15.3746301250895954,19.0081691981604592,0.4364908612698112,0.4445263909277288,0.0000000000000000,0.0000000000000000
